Gene ID,gene,SMTS_Adipose_Tissue,SMTS_Adrenal_Gland,SMTS_Brain,SMTS_Breast,SMTS_Colon,SMTS_Heart,SMTS_Kidney,leukocyte,SMTS_Liver,SMTS_Lung,lymph node,ovary,prostate gland,SMTS_Muscle,testis,thyroid gland
ENSG00000000003,TSPAN6,71,19,19,58,41,5,43,0.7,92,45,15,97,59,1,70,63
ENSG00000000005,TNMD,58,19,0.4,158,5,0.5,0.4,,,0.4,0.8,2,2,0.1,3,0.9
ENSG00000000419,DPM1,70,115,91,87,85,58,112,122,48,98,77,149,136,57,157,187
ENSG00000000457,SCYL3,5,9,8,9,5,3,8,14,5,4,8,18,15,2,10,13
ENSG00000000460,C1orf112,2,2,1,2,1,0.4,1,3,2,1,2,3,4,0.3,18,3
ENSG00000000938,FGR,33,27,4,9,4,4,9,630,6,101,33,7,8,2,3,8
ENSG00000000971,CFH,59,86,15,77,66,29,31,4,536,84,163,425,87,10,73,116
ENSG00000001036,FUCA2,84,79,45,87,45,35,86,66,50,49,39,124,50,9,83,102
ENSG00000001084,GCLC,18,29,39,40,15,8,29,15,36,19,13,24,51,9,17,57
ENSG00000001167,NFYA,22,20,25,22,16,6,24,70,7,52,22,50,33,11,71,31
ENSG00000001460,STPG1,2,3,7,3,2,0.9,3,1,0.5,5,2,8,5,1,21,4
ENSG00000001461,NIPAL3,8,12,87,12,12,15,19,33,2,15,14,13,13,1,9,36
ENSG00000001497,LAS1L,20,30,20,15,15,4,15,19,10,13,12,33,27,5,26,34
ENSG00000001561,ENPP4,47,30,123,47,40,32,69,43,9,78,31,21,73,33,43,50
ENSG00000001617,SEMA3F,60,22,4,9,16,5,25,0.1,3,84,26,9,28,3,6,19
ENSG00000001626,CFTR,0.2,0.2,1,0.2,7,0.2,1,,1,10,0.1,3,1,,0.7,0.7
ENSG00000001629,ANKIB1,21,26,54,32,20,14,34,35,5,20,28,51,35,7,52,36
ENSG00000001630,CYP51A1,2,1,3,1,0.8,0.4,1,0.6,2,2,1,5,1,0.4,4,2
ENSG00000001631,KRIT1,3,11,6,7,3,2,6,5,2,4,5,12,8,2,11,12
