SMTS,SMTSD,atlas_names
SMTS_Adipose_Tissue,SMTSD_Adipose_Subcutaneous,adipose tissue
SMTS_Adipose_Tissue,SMTSD_Adipose_Visceral_Omentum,adipose tissue
SMTS_Adrenal_Gland,SMTSD_Adrenal_Gland,adrenal gland
SMTS_Blood,SMTSD_Cells_EBV-transformed_lymphocytes,
SMTS_Blood,SMTSD_Whole_Blood,
SMTS_Blood_Vessel,SMTSD_Artery_Aorta,
SMTS_Blood_Vessel,SMTSD_Artery_Coronary,
SMTS_Blood_Vessel,SMTSD_Artery_Tibial,
SMTS_Brain,SMTSD_Brain_Amygdala,brain
SMTS_Brain,SMTSD_Brain_Anterior_cingulate_cortex_BA24,brain
SMTS_Brain,SMTSD_Brain_Caudate_basal_ganglia,brain
SMTS_Brain,SMTSD_Brain_Cerebellar_Hemisphere,brain
SMTS_Brain,SMTSD_Brain_Cerebellum,brain
SMTS_Brain,SMTSD_Brain_Cortex,brain
SMTS_Brain,SMTSD_Brain_Frontal_Cortex_BA9,brain
SMTS_Brain,SMTSD_Brain_Hippocampus,brain
SMTS_Brain,SMTSD_Brain_Hypothalamus,brain
SMTS_Brain,SMTSD_Brain_Nucleus_accumbens_basal_ganglia,brain
SMTS_Brain,SMTSD_Brain_Putamen_basal_ganglia,brain
SMTS_Brain,SMTSD_Brain_Spinal_cord_cervical_c-1,brain
SMTS_Brain,SMTSD_Brain_Substantia_nigra,brain
SMTS_Breast,SMTSD_Breast_Mammary_Tissue,breast
SMTS_Colon,SMTSD_Colon_Sigmoid,colon
SMTS_Colon,SMTSD_Colon_Transverse,colon
SMTS_Esophagus,SMTSD_Esophagus_Gastroesophageal_Junction,
SMTS_Esophagus,SMTSD_Esophagus_Mucosa,
SMTS_Esophagus,SMTSD_Esophagus_Muscularis,
SMTS_Heart,SMTSD_Heart_Atrial_Appendage,heart
SMTS_Heart,SMTSD_Heart_Left_Ventricle,heart
SMTS_Kidney,SMTSD_Kidney_Cortex,kidney
SMTS_Liver,SMTSD_Liver,liver
SMTS_Lung,SMTSD_Lung,lung
SMTS_Muscle,SMTSD_Muscle_Skeletal,skeletal muscle tissue
SMTS_Nerve,SMTSD_Nerve_Tibial,
SMTS_Pancreas,SMTSD_Pancreas,
SMTS_Pituitary,SMTSD_Pituitary,
SMTS_Salivary_Gland,SMTSD_Minor_Salivary_Gland,
SMTS_Skin,SMTSD_Skin_Not_Sun_Exposed_Suprapubic,
SMTS_Skin,SMTSD_Skin_Sun_Exposed_Lower_leg,
SMTS_Small_Intestine,SMTSD_Small_Intestine_Terminal_Ileum,
SMTS_Spleen,SMTSD_Spleen,
SMTS_Stomach,SMTSD_Stomach,
SMTS_Thyroid,SMTSD_Thyroid,
