type,name
gene,HGF
gene,RPS21
gene,DMTN
gene,PSME1
gene,RABGEF1
gene,VAMP2
gene,ATP5A1
gene,CDT1
gene,NAP1L4
gene,ASH2L
gene,M6PR
gene,TMOD3
gene,ZMYND19
gene,RRP9
gene,DNLZ
gene,KLHDC3
gene,SIKE1
gene,PRDX1
gene,AP2M1
gene,MAP3K5
gene,FHIT
gene,DCP2
gene,BRE
gene,VAPB
gene,MED7
gene,MRPL23
gene,MAPK8
gene,UBE2D1
gene,PAXIP1
gene,CRK
gene,DUSP12
gene,ARID1B
gene,PLAG1
gene,ING2
gene,PTBP1
gene,PDCL
gene,MGME1
gene,MTA2
gene,SNRNP200
gene,STT3A
gene,STEAP3
gene,PRKCZ
gene,CRY2
gene,TAF7
gene,EIF6
gene,FYN
gene,YARS
gene,RRAS2
gene,ATAD3A
gene,KPNA4
gene,MBD2
gene,UBXN8
gene,HBEGF
gene,RTN3
gene,DUSP11
gene,IFITM3
gene,SESN2
gene,USP2
gene,BOD1L1
gene,CDC23
gene,PEX26
gene,HDLBP
gene,CEP295
gene,TNPO3
gene,ORC6
gene,EIF3A
gene,TAF3
gene,ESF1
gene,EIF3K
gene,LRIF1
gene,NARFL
gene,RPS28
gene,UBE2S
gene,TPM4
gene,USP20
gene,POU5F1
gene,NME7
gene,MOB1B
gene,PRKCI
gene,RNF8
gene,NFKB2
gene,PPHLN1
gene,SCO2
gene,NCK2
gene,TICAM2
gene,PDP1
gene,PSMD13
gene,SERPINH1
gene,GABARAPL1
gene,OPA1
gene,KAT7
gene,ZBTB6
gene,SF3B4
gene,HAT1
gene,PLK1
gene,L3MBTL2
gene,EED
gene,NHLRC1
gene,DCUN1D1
gene,U2SURP
gene,HMGA1
gene,RPAP3
gene,ITSN1
gene,SNRPD3
gene,MED1
gene,DNAJB4
gene,PUS10
gene,EPS15
gene,PPP1R3D
gene,SLC20A1
gene,MXI1
gene,PIGG
gene,THUMPD3
gene,ATP5J2
gene,DCTN1
gene,RPS9
gene,PYROXD1
gene,MED8
gene,PTGFR
gene,NUP153
gene,KCTD9
gene,EIF2S2
gene,STX1A
gene,NFYC
gene,SETD7
gene,PPARGC1A
gene,ECI2
gene,FAF2
gene,RECQL
gene,RAP2B
gene,VHL
gene,RRBP1
gene,ARF6
gene,PIAS2
gene,SET
gene,EWSR1
gene,LOXL1
gene,NSA2
gene,KTI12
gene,NFAT5
gene,MYBBP1A
gene,RARRES3
gene,RAB11FIP5
gene,HSPA4L
gene,DHX15
gene,DNAJC11
gene,RAD9A
gene,SGTA
gene,TIMM10
gene,ZNHIT2
gene,DAD1
gene,GTF2E2
gene,BATF2
gene,NDC1
gene,CRADD
gene,PHC1
gene,CLCN7
gene,DPH5
gene,DYNC2H1
gene,DDX28
gene,ANKRD17
gene,AHCY
gene,UBE2J2
gene,ELOA
gene,PHF10
gene,CCHCR1
gene,CHPF
gene,FBXO4
gene,RPS25
gene,TIMM9
gene,CDK5
gene,AP3B1
gene,RICTOR
gene,SSTR1
gene,CHAMP1
gene,FOXRED2
gene,ZFP91
gene,COA4
gene,LRRK1
gene,PAF1
gene,PSMB8
gene,SLC1A5
gene,UXS1
gene,ANAPC5
gene,DDX17
gene,CIRBP
gene,SNCAIP
gene,ASAP1
gene,GNG10
gene,POLR1B
gene,DDIT3
gene,PLIN3
gene,FBXL18
gene,BBC3
gene,AFF4
gene,CDK19
gene,EMC8
gene,CCDC90B
gene,ZMYND11
gene,PCNA
gene,CDC42SE1
gene,SUPT3H
gene,TP53
gene,SMAD6
gene,MAX
gene,MTPN
gene,EXOC8
gene,GOLGA2
gene,RPA1
gene,PSPH
gene,CDC5L
gene,NEK6
gene,CTNNB1
gene,PEX5
gene,UBE2D2
gene,PMS1
gene,CDK6
gene,XRN1
gene,NPEPPS
gene,SLC9A3R2
gene,RPL30
gene,CMSS1
gene,RNF6
gene,ZPR1
gene,JOSD2
gene,SEC22B
gene,HDDC3
gene,CHST15
gene,STK24
gene,MYCBP
gene,SGSM3
gene,PLSCR1
gene,TRIM24
gene,SORBS1
gene,TBC1D9B
gene,TMEM147
gene,RNF213
gene,SNCA
gene,STUB1
gene,TOPORS
gene,AKR1C1
gene,MRPL11
gene,BCAR1
gene,CHMP4B
gene,FANCG
gene,STRN4
gene,DPM1
gene,CDK2
gene,MARK3
gene,REV1
gene,RNF2
gene,TADA3
gene,KIAA0368
gene,UBE2F
gene,CALCOCO2
gene,NIF3L1
gene,ARHGAP22
gene,CHTF8
gene,ANKRD28
gene,ACOT8
gene,RB1CC1
gene,MAP2K1
gene,SNAI1
gene,CARS
gene,IFT80
gene,PDGFC
gene,CTTN
gene,PPFIA1
gene,STK3
gene,COG1
gene,AGAP2
gene,P3H1
gene,ZBTB2
gene,BFAR
gene,PCM1
gene,HSPA1B
gene,KLHDC4
gene,UBASH3B
gene,RPL21
gene,PAK1
gene,ACTN1
gene,BAIAP2
gene,NR1D2
gene,RBBP6
gene,ZNF670
gene,PPIL3
gene,SGK1
gene,IKBKB
gene,TXNL4A
gene,KIF5B
gene,KIAA0100
gene,LMNB2
gene,PRPF8
gene,RPL11
gene,CINP
gene,EXOSC3
gene,PPID
gene,STAT5A
gene,SAMD1
gene,WRN
gene,WDR24
gene,LGALS1
gene,N4BP2
gene,CLK1
gene,DNMT3A
gene,IFI16
gene,CCT3
gene,TPD52L2
gene,ATP5B
gene,EEF1D
gene,TAX1BP1
gene,FLOT1
gene,RWDD2B
gene,PTPN1
gene,GCC1
gene,VAV1
gene,ADAM17
gene,DCUN1D5
gene,E2F4
gene,GNAI3
gene,KIAA1524
gene,CDC34
gene,TDG
gene,PSMD9
gene,KRR1
gene,RPF2
gene,HNRNPC
gene,MRPL18
gene,TRMT61B
gene,MED16
gene,SMAD2
gene,PPP1CC
gene,BBS7
gene,TAF10
gene,MLH1
gene,SNAI2
gene,LIMS1
gene,SNW1
gene,FSCN1
gene,MORF4L1
gene,TMEM11
gene,AHR
gene,RPL27
gene,LONP1
gene,MRPL4
gene,KEAP1
gene,HIRIP3
gene,VAT1
gene,CUL9
gene,PARP1
gene,GRWD1
gene,SOS1
gene,HESX1
gene,EIF3B
gene,CFDP1
gene,DPF2
gene,CENPB
gene,TRIM22
gene,RBFA
gene,ODF2
gene,CTBP1
