type,old,old2,new
pheno,SEX,sex,sex
pheno,AGE,age,age
pheno,BMI,BMI,BMI
como,MHRNLFLR,renal_failure,renalFailure
como,MHT1D,diabetes1,diabetes1
como,MHT2D,diabetes2,diabetes2
como,MHPNMNIA,pneumonia,pneumonia
como,MHPNMIAB,pneumonia_acute,pneumoniaAcute
como,MHASTHMA,asthma,asthma
como,MHDPRSSN,major_depression,majorDepression
como,MHLVRDIS,liver_disease,liverDisease
como,MHCOPD,COPD,COPD
como,MHHRTDIS,ischemic_heart_disease,ischemicHeartDisease
como,MHCVD,cerebrovascular_diease,cerebrovascularDiease
como,MHHTN,hyptertension,hyptertension
prs,asthma,PRS_asthma,PRS_asthma
prs,diabetesType1,PRS_diabetes1,PRS_diabetes1
prs,diabetesType2,PRS_diabetes2,PRS_diabetes2
prs,pneumonia,PRS_pneumonia,PRS_pneumonia
prs,alcohol,PRS_alcohol,PRS_alcohol
prs,cancer,PRS_cancer,PRS_cancer
prs,lungCancer,PRS_lung_cancer,PRS_lungCancer
prs,chronicKidneyDisease,PRS_chronic_kidney_disease,PRS_chronicKidneyDisease
prs,coronaryArteryDisease,PRS_coronary_artery_disease,PRS_coronaryArteryDisease
prs,smokingStatus,PRS_smoking,PRS_smoking
prs,crohnsDisease,PRS_crohns_diease,PRS_crohnsDisease
prs,MDD,PRS_major_depression,PRS_majorDepression
prs,SCZ,PRS_schizophrenia,PRS_schizophrenia
prs,psoriasis,PRS_psoriasis,PRS_psoriasis
prs,obesity,PRS_obesity,PRS_obesity
prs,covid19hg,PRS_covid19,PRS_covid19
prs,covid19hgsevere,PRS_covid19severe,PRS_covid19Severe
prs,hypertension,PRS_hypertension,PRS_hypertension
prs,stroke,PRS_stroke,PRS_stroke
prs,ADHD,PRS_ADHD,PRS_ADHD
prs,bmigiant,PRS_BMI,PRS_BMI
prs,heart-failure,PRS_heart_failure,PRS_heartFailure
prs,BIP,PRS_bipolar,PRS_bipolar
prs,covid19hghospitalized,PRS_covid19_hospitalization,PRS_covid19Hospitalization
prs,copd,PRS_COPD,PRS_COPD
prs,crp,PRS_CRP,PRS_CRP
prs,drinking,PRS_drinking,PRS_drinking
tissue,SMTSD_Adrenal_Gland,Adrenal_Gland,adrenal_Gland
tissue,SMTSD_Artery_Aorta,Artery_Aorta,artery_Aorta
tissue,SMTSD_Artery_Coronary,Artery_Coronary,artery_Coronary
tissue,SMTSD_Artery_Tibial,Artery_Tibial,artery_Tibial
tissue,SMTSD_Brain_Amygdala,Brain_Amygdala,brain_Amygdala
tissue,SMTSD_Brain_Anterior_cingulate_cortex_BA24,Brain_Anterior_cingulate_cortex_BA24,brain_Anterior_cingulate_cortex_BA24
tissue,SMTSD_Brain_Caudate_basal_ganglia,Brain_Caudate_basal_ganglia,brain_Caudate_basal_ganglia
tissue,SMTSD_Brain_Cerebellar_Hemisphere,Brain_Cerebellar_Hemisphere,brain_Cerebellar_Hemisphere
tissue,SMTSD_Brain_Cerebellum,Brain_Cerebellum,brain_Cerebellum
tissue,SMTSD_Brain_Cortex,Brain_Cortex,brain_Cortex
tissue,SMTSD_Brain_Frontal_Cortex_BA9,Brain_Frontal_Cortex_BA9,brain_Frontal_Cortex_BA9
tissue,SMTSD_Brain_Hippocampus,Brain_Hippocampus,brain_Hippocampus
tissue,SMTSD_Brain_Hypothalamus,Brain_Hypothalamus,brain_Hypothalamus
tissue,SMTSD_Brain_Nucleus_accumbens_basal_ganglia,Brain_Nucleus_accumbens_basal_ganglia,brain_Nucleus_accumbens_basal_ganglia
tissue,SMTSD_Brain_Putamen_basal_ganglia,Brain_Putamen_basal_ganglia,brain_Putamen_basal_ganglia
tissue,SMTSD_Brain_Spinal_cord_cervical_c-1,Brain_Spinal_cord_cervical_c-1,brain_Spinal_cord_cervical_c-1
tissue,SMTSD_Brain_Substantia_nigra,Brain_Substantia_nigra,brain_Substantia_nigra
tissue,SMTSD_Breast_Mammary_Tissue,Breast_Mammary_Tissue,breast_Mammary_Tissue
tissue,SMTSD_Cells_EBV-transformed_lymphocytes,Cells_EBV-transformed_lymphocytes,cells_EBV-transformed_lymphocytes
tissue,SMTSD_Colon_Sigmoid,Colon_Sigmoid,colon_Sigmoid
tissue,SMTSD_Colon_Transverse,Colon_Transverse,colon_Transverse
